SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014587,약국,올리브약국,"서울특별시 마포구 신촌로 88, 1층 (노고산동)",,126.93536107902315,37.55536053774931,14130379.758977175,4516802.197324258,
SFT0014588,약국,옵티마상원약국,"서울특별시 마포구 월드컵로 75, 1층 (망원동)",,126.9101537214,37.5556322029,14127573.68876232,4516840.344429797,
SFT0014589,약국,옵티마유한약국,"서울특별시 마포구 월드컵북로 236, 1층 (중동)",,126.903428235454,37.5703001567881,14126825.011091476,4518900.218820229,
SFT0014590,약국,용약국,"서울특별시 마포구 신촌로 102-1, (노고산동)",,126.93736606542707,37.55460461219515,14130602.953042706,4516696.051309553,
SFT0014647,약국,우대약국,"서울특별시 마포구 만리재로 27, 1층 (신공덕동)",,126.95428000024623,37.54473742957374,14132485.803654084,4515310.613991156,
SFT0014648,약국,우리들약국,"서울특별시 마포구 동교로 203, (동교동)",,126.92308665896365,37.55838216469109,14129013.376786368,4517226.50073038,
SFT0014649,약국,우리약국,"서울특별시 마포구 숭문길 215, (대흥동)",,126.94644144337302,37.556003826610244,14131613.219494406,4516892.527899226,
SFT0014650,약국,우리이약국,"서울특별시 마포구 백범로 8, 우정마샹스 오피스텔 비110호 (노고산동)",,126.936731657301,37.5540039439813,14130532.331053156,4516611.707082291,
SFT0014651,약국,우정옵티마약국,"서울특별시 마포구 백범로 4, 1층 (노고산동)",,126.936784234683,37.5543277907154,14130538.183940548,4516657.180691812,
SFT0014652,약국,원약국,"서울특별시 마포구 월드컵북로 396, B1070호 (상암동, 누리꿈스퀘어)",,126.890322604776,37.5794419093126,14125366.098957876,4520184.233754752,
SFT0014653,약국,원이약국,"서울특별시 마포구 와우산로 94, 제2기숙사 지하1층 B110호 (상수동)",,126.9249916394,37.5525179016,14129225.438238515,4516403.043899041,
SFT0014654,약국,월드약국,"서울특별시 마포구 월드컵북로 502, 월드컵파크 프라자 210호 (상암동)",,126.87987103266403,37.58504618403541,14124202.635272382,4520971.466291669,
SFT0014655,약국,유림약국,"서울특별시 마포구 신촌로 120, 1층(노고산동)",,126.93916825559657,37.55539302636338,14130803.571934689,4516806.75935438,
SFT0014656,약국,유명온누리약국,"서울특별시 마포구 만리재옛길 101-1, 삼성래미안공덕2차 상가2동 102호 (아현동)",,126.96152899943,37.5514483147572,14133292.758551983,4516252.860047213,
SFT0014657,약국,유진온누리약국,서울특별시 마포구 도화4길 73,,126.95147868550177,37.53901727401081,14132173.96272318,4514507.538911021,
SFT0014658,약국,은혜약국,"서울특별시 마포구 숭문길 221, 1층 (대흥동)",,126.946428030039,37.5562440264362,14131611.726328893,4516926.256941225,
SFT0014659,약국,이지약국,"서울특별시 마포구 양화로 152, 1층 (동교동, 대화빌딩)",,126.922892344,37.5558250126,14128991.74574356,4516867.418770688,
SFT0014660,약국,이화메세나약국,"서울특별시 마포구 양화로 45, B105호 (서교동, 메세나폴리스몰)",,126.9139520503,37.5515012548,14127996.516801335,4516260.29346449,
SFT0014661,약국,이화바이오약국,"서울특별시 마포구 양화로 156, LG팰리스빌딩 306-1호 (동교동)",,126.923446601456,37.5561130617043,14129053.445401331,4516907.866760625,
SFT0014662,약국,이화약국,"서울특별시 마포구 월드컵로 126, 1층 (성산동)",,126.90724711799032,37.559547485788705,14127250.127150819,4517390.142242816,
SFT0014663,약국,이화키즈팜약국,"서울특별시 마포구 마포대로 195, 4단지상가동 219호 (아현동, 마포래미안푸르지오)",,126.95357366435758,37.55395658438701,14132407.174702633,4516605.057003387,
