정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB102000037,남영역,37.5407833,126.9706667,2.0221E+13,3131,11,서울특별시,경기도
GGB102000038,용산전자상가17동,37.5338167,126.9660167,2.0221E+13,3132,11,서울특별시,경기도
GGB102000039,용산전자상가19동,37.5334667,126.9655,2.0221E+13,3133,11,서울특별시,경기도
GGB102000040,용산전자상가10동,37.5333167,126.9619667,2.0221E+13,3134,11,서울특별시,경기도
GGB102000041,용산전자상가12동,37.5330333,126.9622667,2.0221E+13,3135,11,서울특별시,경기도
GGB102000042,용산전자상가.전자랜드,37.5328,126.9585667,2.0221E+13,3136,11,서울특별시,경기도
GGB102000043,용산전자상가.전자랜드,37.5330333,126.95825,2.0221E+13,3137,11,서울특별시,경기도
GGB102000044,원효대교북단,37.5319167,126.956,2.0221E+13,3138,11,서울특별시,경기도
GGB102000045,용산경찰서,37.5405333,126.9691833,2.0221E+13,3139,11,서울특별시,경기도
GGB102000046,용산경찰서,37.5400333,126.96905,2.0221E+13,3140,11,서울특별시,경기도
GGB102000047,용산꿈나무종합타운.원효로우체국,37.53865,126.9669167,2.0221E+13,3141,11,서울특별시,경기도
GGB102000048,용산e편한세상,37.5373667,126.9653667,2.0221E+13,3142,11,서울특별시,경기도
GGB102000049,남정초등학교,37.53635,126.9636667,2.0221E+13,3143,11,서울특별시,경기도
GGB102000050,원효로2가,37.5362667,126.9629833,2.0221E+13,3144,11,서울특별시,경기도
GGB102000051,원효로2가사거리,37.5349667,126.9610667,2.0221E+13,3145,11,서울특별시,경기도
GGB102000052,원효로3가,37.5340833,126.9581833,2.0221E+13,3146,11,서울특별시,경기도
GGB102000053,원효로3가,37.5338333,126.9583167,2.0221E+13,3147,11,서울특별시,경기도
GGB102000057,해방촌,37.53775,126.9865,2.0221E+13,3151,11,서울특별시,경기도
GGB102000058,국군재정관리단,37.5371667,126.9869667,2.0221E+13,3152,11,서울특별시,경기도
GGB102000059,용산구청.크라운호텔,37.5303167,126.9912,2.0221E+13,3153,11,서울특별시,경기도
